,STATION,DATE,ENTRIES,EXITS
0,59 ST,03/27/2021,12185,17655
1,59 ST,03/28/2021,7101,10366
2,59 ST,03/29/2021,18765,22975
3,59 ST,03/30/2021,19969,24693
4,59 ST,03/31/2021,19258,23460
5,59 ST,04/01/2021,18853,23777
6,59 ST,04/02/2021,14738,16385
7,59 ST,03/20/2021,11706,15585
8,59 ST,03/21/2021,8324,11925
9,59 ST,03/22/2021,18366,22088
10,59 ST,03/23/2021,19249,22667
11,59 ST,03/24/2021,19631,22841
12,59 ST,03/25/2021,19503,24231
13,59 ST,03/26/2021,18623,23306
14,59 ST,03/13/2021,12097,15574
15,59 ST,03/14/2021,7569,10506
16,59 ST,03/15/2021,18097,22408
17,59 ST,03/16/2021,18217,21368
18,59 ST,03/17/2021,19284,23903
19,59 ST,03/18/2021,18502,22956
20,59 ST,03/19/2021,19130,23495
21,59 ST,03/06/2021,11610,14648
22,59 ST,03/07/2021,8208,11219
23,59 ST,03/08/2021,19775,23085
24,59 ST,03/09/2021,20852,24785
25,59 ST,03/10/2021,21106,24927
26,59 ST,03/11/2021,20927,24931
27,59 ST,03/12/2021,20730,25112
28,59 ST,02/27/2021,11049,14027
29,59 ST,02/28/2021,8065,10610
30,59 ST,03/01/2021,19406,22843
31,59 ST,03/02/2021,20212,23767
32,59 ST,03/03/2021,21230,25060
33,59 ST,03/04/2021,20619,24488
34,59 ST,03/05/2021,20300,23924
35,59 ST,02/20/2021,11736,15020
36,59 ST,02/21/2021,8438,11485
37,59 ST,02/22/2021,18728,22106
38,59 ST,02/23/2021,20561,23906
39,59 ST,02/24/2021,20909,24649
40,59 ST,02/25/2021,20857,24622
41,59 ST,02/26/2021,20243,24326
42,59 ST,02/13/2021,12254,15505
43,59 ST,02/14/2021,8791,12493
44,59 ST,02/15/2021,15665,18370
45,59 ST,02/16/2021,19334,22901
46,59 ST,02/17/2021,20084,23950
47,59 ST,02/18/2021,16667,19875
48,59 ST,02/19/2021,18095,20512
49,59 ST,02/06/2021,17116,16996
50,59 ST,02/07/2021,8084,10064
51,59 ST,02/08/2021,19198,22665
52,59 ST,02/09/2021,19638,23200
53,59 ST,02/10/2021,20401,23989
54,59 ST,02/11/2021,19945,23733
55,59 ST,02/12/2021,19288,23307
56,59 ST,01/30/2021,10292,13164
57,59 ST,01/31/2021,7426,9980
58,59 ST,02/01/2021,7755,11975
59,59 ST,02/02/2021,12316,15444
60,59 ST,02/03/2021,19767,23392
61,59 ST,02/04/2021,20526,24403
62,59 ST,02/05/2021,19674,23508
63,59 ST,01/23/2021,10675,14697
64,59 ST,01/24/2021,6439,9123
65,59 ST,01/25/2021,18505,22241
66,59 ST,01/26/2021,18854,21904
67,59 ST,01/27/2021,19812,23345
68,59 ST,01/28/2021,19548,23005
69,59 ST,01/29/2021,17812,20839
70,59 ST,01/16/2021,11152,13659
71,59 ST,01/17/2021,8775,10484
72,59 ST,01/18/2021,15796,17594
73,59 ST,01/19/2021,20143,23081
74,59 ST,01/20/2021,18604,22299
75,59 ST,01/21/2021,19846,23002
76,59 ST,01/22/2021,19252,22722
77,59 ST,01/09/2021,10779,14074
78,59 ST,01/10/2021,7873,11042
79,59 ST,01/11/2021,18735,21988
80,59 ST,01/12/2021,19742,22934
81,59 ST,01/13/2021,19745,22944
82,59 ST,01/14/2021,19532,23014
83,59 ST,01/15/2021,19120,22490
84,5 AV/59 ST,03/27/2021,3301,3916
85,5 AV/59 ST,03/28/2021,1226,1463
86,5 AV/59 ST,03/29/2021,4032,4169
87,5 AV/59 ST,03/30/2021,4614,4884
88,5 AV/59 ST,03/31/2021,3976,3806
89,5 AV/59 ST,04/01/2021,4067,4084
90,5 AV/59 ST,04/02/2021,3266,3584
91,5 AV/59 ST,03/20/2021,2686,2806
92,5 AV/59 ST,03/21/2021,2325,2415
93,5 AV/59 ST,03/22/2021,3864,3860
94,5 AV/59 ST,03/23/2021,3981,4109
95,5 AV/59 ST,03/24/2021,3681,3682
96,5 AV/59 ST,03/25/2021,3932,4085
97,5 AV/59 ST,03/26/2021,3869,3896
98,5 AV/59 ST,03/13/2021,2660,3099
99,5 AV/59 ST,03/14/2021,1953,2268
100,5 AV/59 ST,03/15/2021,3621,3645
101,5 AV/59 ST,03/16/2021,3651,3879
102,5 AV/59 ST,03/17/2021,3821,3918
103,5 AV/59 ST,03/18/2021,3648,3610
104,5 AV/59 ST,03/19/2021,3742,3847
105,5 AV/59 ST,03/06/2021,2215,2511
106,5 AV/59 ST,03/07/2021,1647,1891
107,5 AV/59 ST,03/08/2021,3478,3577
108,5 AV/59 ST,03/09/2021,3954,4045
109,5 AV/59 ST,03/10/2021,3741,3929
110,5 AV/59 ST,03/11/2021,4028,4190
111,5 AV/59 ST,03/12/2021,3861,4090
112,5 AV/59 ST,02/27/2021,1698,2159
113,5 AV/59 ST,02/28/2021,1206,1457
114,5 AV/59 ST,03/01/2021,3381,3469
115,5 AV/59 ST,03/02/2021,3576,3700
116,5 AV/59 ST,03/03/2021,3711,3880
117,5 AV/59 ST,03/04/2021,3611,3747
118,5 AV/59 ST,03/05/2021,3458,3616
119,5 AV/59 ST,02/20/2021,2463,2857
120,5 AV/59 ST,02/21/2021,1695,2011
121,5 AV/59 ST,02/22/2021,3295,3294
122,5 AV/59 ST,02/23/2021,3562,3663
123,5 AV/59 ST,02/24/2021,3803,3911
124,5 AV/59 ST,02/25/2021,3676,3656
125,5 AV/59 ST,02/26/2021,3559,3695
126,5 AV/59 ST,02/13/2021,2051,2434
127,5 AV/59 ST,02/14/2021,1673,2032
128,5 AV/59 ST,02/15/2021,2584,2708
129,5 AV/59 ST,02/16/2021,3491,3511
130,5 AV/59 ST,02/17/2021,3708,3826
131,5 AV/59 ST,02/18/2021,3017,3040
132,5 AV/59 ST,02/19/2021,3240,3269
133,5 AV/59 ST,02/06/2021,2586,3110
134,5 AV/59 ST,02/07/2021,1529,1641
135,5 AV/59 ST,02/08/2021,3433,3540
136,5 AV/59 ST,02/09/2021,3450,3371
137,5 AV/59 ST,02/10/2021,3670,3568
138,5 AV/59 ST,02/11/2021,3405,3527
139,5 AV/59 ST,02/12/2021,3248,3365
140,5 AV/59 ST,01/30/2021,1349,2152
141,5 AV/59 ST,01/31/2021,1086,1338
142,5 AV/59 ST,02/01/2021,1145,1178
143,5 AV/59 ST,02/02/2021,2135,2381
144,5 AV/59 ST,02/03/2021,3648,3705
145,5 AV/59 ST,02/04/2021,3733,3873
146,5 AV/59 ST,02/05/2021,3293,3373
147,5 AV/59 ST,01/23/2021,1953,2032
148,5 AV/59 ST,01/24/2021,1303,1616
149,5 AV/59 ST,01/25/2021,3395,3332
150,5 AV/59 ST,01/26/2021,3325,3323
151,5 AV/59 ST,01/27/2021,3478,3490
152,5 AV/59 ST,01/28/2021,3514,3383
153,5 AV/59 ST,01/29/2021,2570,2986
154,5 AV/59 ST,01/16/2021,2046,2407
155,5 AV/59 ST,01/17/2021,1620,1994
156,5 AV/59 ST,01/18/2021,2936,3089
157,5 AV/59 ST,01/19/2021,3474,3436
158,5 AV/59 ST,01/20/2021,3401,3340
159,5 AV/59 ST,01/21/2021,3435,3425
160,5 AV/59 ST,01/22/2021,3344,3322
161,5 AV/59 ST,01/09/2021,2199,2511
162,5 AV/59 ST,01/10/2021,1541,1906
163,5 AV/59 ST,01/11/2021,3330,3182
164,5 AV/59 ST,01/12/2021,3693,3555
165,5 AV/59 ST,01/13/2021,3617,3313
166,5 AV/59 ST,01/14/2021,3527,3367
167,5 AV/59 ST,01/15/2021,3329,3190
168,57 ST-7 AV,03/27/2021,3926,4822
169,57 ST-7 AV,03/28/2021,2188,2660
170,57 ST-7 AV,03/29/2021,5740,5920
171,57 ST-7 AV,03/30/2021,6167,6721
172,57 ST-7 AV,03/31/2021,6171,6436
173,57 ST-7 AV,04/01/2021,5945,6718
174,57 ST-7 AV,04/02/2021,5529,6247
175,57 ST-7 AV,03/20/2021,4291,5963
176,57 ST-7 AV,03/21/2021,3366,4663
177,57 ST-7 AV,03/22/2021,5808,5786
178,57 ST-7 AV,03/23/2021,5891,6249
179,57 ST-7 AV,03/24/2021,5915,6044
180,57 ST-7 AV,03/25/2021,5964,6341
181,57 ST-7 AV,03/26/2021,5783,6539
182,57 ST-7 AV,03/13/2021,4909,5946
183,57 ST-7 AV,03/14/2021,2987,3727
184,57 ST-7 AV,03/15/2021,5486,5718
185,57 ST-7 AV,03/16/2021,5838,5906
186,57 ST-7 AV,03/17/2021,5989,6274
187,57 ST-7 AV,03/18/2021,5752,5978
188,57 ST-7 AV,03/19/2021,5700,6466
189,57 ST-7 AV,03/06/2021,4454,5292
190,57 ST-7 AV,03/07/2021,3258,3745
191,57 ST-7 AV,03/08/2021,6136,5890
192,57 ST-7 AV,03/09/2021,6469,6352
193,57 ST-7 AV,03/10/2021,6654,6695
194,57 ST-7 AV,03/11/2021,6644,6723
195,57 ST-7 AV,03/12/2021,6559,7104
196,57 ST-7 AV,02/27/2021,4171,5093
197,57 ST-7 AV,02/28/2021,2992,3494
198,57 ST-7 AV,03/01/2021,6157,5703
199,57 ST-7 AV,03/02/2021,6372,6075
200,57 ST-7 AV,03/03/2021,6789,6465
201,57 ST-7 AV,03/04/2021,6521,6386
202,57 ST-7 AV,03/05/2021,6260,6391
