,STATION,DATE,ENTRIES,EXITS
0,59 ST,03/27/2021,12185,17655
1,59 ST,03/28/2021,7101,10366
2,59 ST,03/29/2021,18765,22975
3,59 ST,03/30/2021,19969,24693
4,59 ST,03/31/2021,19258,23460
5,59 ST,04/01/2021,18853,23777
6,59 ST,04/02/2021,14738,16385
7,5 AV/59 ST,03/27/2021,3301,3916
8,5 AV/59 ST,03/28/2021,1226,1463
9,5 AV/59 ST,03/29/2021,4032,4169
10,5 AV/59 ST,03/30/2021,4614,4884
11,5 AV/59 ST,03/31/2021,3976,3806
12,5 AV/59 ST,04/01/2021,4067,4084
13,5 AV/59 ST,04/02/2021,3266,3584
14,57 ST-7 AV,03/27/2021,3926,4822
15,57 ST-7 AV,03/28/2021,2188,2660
16,57 ST-7 AV,03/29/2021,5740,5920
17,57 ST-7 AV,03/30/2021,6167,6721
18,57 ST-7 AV,03/31/2021,6171,6436
19,57 ST-7 AV,04/01/2021,5945,6718
20,57 ST-7 AV,04/02/2021,5529,6247
21,49 ST,03/27/2021,2448,3985
22,49 ST,03/28/2021,1453,2493
23,49 ST,03/29/2021,2896,4286
24,49 ST,03/30/2021,3107,4462
25,49 ST,03/31/2021,3004,4410
26,49 ST,04/01/2021,3052,4686
27,49 ST,04/02/2021,2913,4415
28,TIMES SQ-42 ST,03/27/2021,11328,16515
29,TIMES SQ-42 ST,03/28/2021,6345,9051
30,TIMES SQ-42 ST,03/29/2021,15601,20070
31,TIMES SQ-42 ST,03/30/2021,17216,22537
32,TIMES SQ-42 ST,03/31/2021,16527,21398
33,TIMES SQ-42 ST,04/01/2021,16365,22071
34,TIMES SQ-42 ST,04/02/2021,14666,20259
35,34 ST-HERALD SQ,03/27/2021,17416,25825
36,34 ST-HERALD SQ,03/28/2021,9984,14612
37,34 ST-HERALD SQ,03/29/2021,24798,32466
38,34 ST-HERALD SQ,03/30/2021,27159,36002
39,34 ST-HERALD SQ,03/31/2021,26438,34003
40,34 ST-HERALD SQ,04/01/2021,26274,34618
41,34 ST-HERALD SQ,04/02/2021,24874,34736
42,28 ST,03/27/2021,5615,10064
43,28 ST,03/28/2021,3347,5714
44,28 ST,03/29/2021,9208,13161
45,28 ST,03/30/2021,9985,14110
46,28 ST,03/31/2021,9966,14149
47,28 ST,04/01/2021,10069,14571
48,28 ST,04/02/2021,9409,14110
49,23 ST,03/27/2021,13137,17032
50,23 ST,03/28/2021,7477,10136
51,23 ST,03/29/2021,21050,24175
52,23 ST,03/30/2021,22827,26378
53,23 ST,03/31/2021,22032,25561
54,23 ST,04/01/2021,22659,26440
55,23 ST,04/02/2021,21327,26134
56,14 ST-UNION SQ,03/27/2021,17589,25264
57,14 ST-UNION SQ,03/28/2021,9124,13542
58,14 ST-UNION SQ,03/29/2021,20542,27722
59,14 ST-UNION SQ,03/30/2021,21324,30037
60,14 ST-UNION SQ,03/31/2021,21029,28277
61,14 ST-UNION SQ,04/01/2021,20345,28462
62,14 ST-UNION SQ,04/02/2021,20542,30658
63,8 ST-NYU,03/27/2021,2369,3767
64,8 ST-NYU,03/28/2021,1289,2130
65,8 ST-NYU,03/29/2021,2215,2645
66,8 ST-NYU,03/30/2021,2319,2834
67,8 ST-NYU,03/31/2021,2292,2571
68,8 ST-NYU,04/01/2021,2380,2904
69,8 ST-NYU,04/02/2021,2465,3150
70,PRINCE ST,03/27/2021,2925,5335
71,PRINCE ST,03/28/2021,1573,2902
72,PRINCE ST,03/29/2021,2207,3210
73,PRINCE ST,03/30/2021,2314,3429
74,PRINCE ST,03/31/2021,2111,3147
75,PRINCE ST,04/01/2021,2370,3625
76,PRINCE ST,04/02/2021,2693,4100
77,CANAL ST,03/27/2021,11596,16155
78,CANAL ST,03/28/2021,6909,8989
79,CANAL ST,03/29/2021,14862,17456
80,CANAL ST,03/30/2021,15441,18437
81,CANAL ST,03/31/2021,14597,17089
82,CANAL ST,04/01/2021,14441,18150
83,CANAL ST,04/02/2021,14564,18291
84,CITY HALL,03/27/2021,498,512
85,CITY HALL,03/28/2021,252,209
86,CITY HALL,03/29/2021,1061,707
87,CITY HALL,03/30/2021,1144,893
88,CITY HALL,03/31/2021,1118,799
89,CITY HALL,04/01/2021,983,804
90,CITY HALL,04/02/2021,946,686
91,CORTLANDT ST,03/27/2021,2636,2762
92,CORTLANDT ST,03/28/2021,1198,2287
93,CORTLANDT ST,03/29/2021,3095,3897
94,CORTLANDT ST,03/30/2021,3198,3863
95,CORTLANDT ST,03/31/2021,3008,3549
96,CORTLANDT ST,04/01/2021,3453,3682
97,CORTLANDT ST,04/02/2021,3550,3351
98,RECTOR ST,03/27/2021,1224,1032
99,RECTOR ST,03/28/2021,753,541
100,RECTOR ST,03/29/2021,2246,1732
101,RECTOR ST,03/30/2021,2422,1881
102,RECTOR ST,03/31/2021,2358,1862
103,RECTOR ST,04/01/2021,2321,1822
104,RECTOR ST,04/02/2021,2171,1665
105,WHITEHALL S-FRY,03/27/2021,2167,2703
106,WHITEHALL S-FRY,03/28/2021,1119,1376
107,WHITEHALL S-FRY,03/29/2021,3328,4123
108,WHITEHALL S-FRY,03/30/2021,3996,4733
109,WHITEHALL S-FRY,03/31/2021,3357,4100
110,WHITEHALL S-FRY,04/01/2021,3496,4050
111,WHITEHALL S-FRY,04/02/2021,3091,3809
112,DELANCEY/ESSEX,03/27/2021,6433,9281
113,DELANCEY/ESSEX,03/28/2021,3950,5694
114,DELANCEY/ESSEX,03/29/2021,6115,7037
115,DELANCEY/ESSEX,03/30/2021,6680,7847
116,DELANCEY/ESSEX,03/31/2021,6369,7446
117,DELANCEY/ESSEX,04/01/2021,6859,7932
118,DELANCEY/ESSEX,04/02/2021,6789,8424
119,BOWERY,03/27/2021,950,2019
120,BOWERY,03/28/2021,591,1474
121,BOWERY,03/29/2021,758,1439
122,BOWERY,03/30/2021,720,1541
123,BOWERY,03/31/2021,687,1281
124,BOWERY,04/01/2021,738,1390
125,BOWERY,04/02/2021,774,1509
126,CHAMBERS ST,03/27/2021,5059,8835
127,CHAMBERS ST,03/28/2021,2870,4568
128,CHAMBERS ST,03/29/2021,8844,10518
129,CHAMBERS ST,03/30/2021,9561,11215
130,CHAMBERS ST,03/31/2021,9045,10268
131,CHAMBERS ST,04/01/2021,8872,10457
132,CHAMBERS ST,04/02/2021,7490,9891
133,FULTON ST,03/27/2021,13027,17838
134,FULTON ST,03/28/2021,6878,10257
135,FULTON ST,03/29/2021,17420,22202
136,FULTON ST,03/30/2021,18860,23876
137,FULTON ST,03/31/2021,17957,23430
138,FULTON ST,04/01/2021,18182,23322
139,FULTON ST,04/02/2021,16852,21559
140,BROAD ST,03/27/2021,576,482
141,BROAD ST,03/28/2021,307,363
142,BROAD ST,03/29/2021,1272,726
143,BROAD ST,03/30/2021,1414,771
144,BROAD ST,03/31/2021,1366,761
145,BROAD ST,04/01/2021,1239,792
146,BROAD ST,04/02/2021,1141,697
147,7 AV,03/27/2021,5069,6246
148,7 AV,03/28/2021,2907,3732
149,7 AV,03/29/2021,7113,8836
150,7 AV,03/30/2021,7753,9694
151,7 AV,03/31/2021,7596,9580
152,7 AV,04/01/2021,7851,9632
153,7 AV,04/02/2021,7149,9156
154,PARK PLACE,03/27/2021,561,930
155,PARK PLACE,03/28/2021,351,632
156,PARK PLACE,03/29/2021,905,1244
157,PARK PLACE,03/30/2021,1031,1268
158,PARK PLACE,03/31/2021,958,1213
159,PARK PLACE,04/01/2021,944,1256
160,PARK PLACE,04/02/2021,835,1136
161,BOTANIC GARDEN,03/27/2021,299,747
162,BOTANIC GARDEN,03/28/2021,163,426
163,BOTANIC GARDEN,03/29/2021,308,594
164,BOTANIC GARDEN,03/30/2021,349,682
165,BOTANIC GARDEN,03/31/2021,343,681
166,BOTANIC GARDEN,04/01/2021,325,633
167,BOTANIC GARDEN,04/02/2021,301,688
168,PROSPECT PARK,03/27/2021,3125,3426
169,PROSPECT PARK,03/28/2021,1684,1805
170,PROSPECT PARK,03/29/2021,2879,3268
171,PROSPECT PARK,03/30/2021,3294,3868
172,PROSPECT PARK,03/31/2021,2991,3500
173,PROSPECT PARK,04/01/2021,3038,3343
174,PROSPECT PARK,04/02/2021,3006,3338
175,PARKSIDE AV,03/27/2021,1113,1433
176,PARKSIDE AV,03/28/2021,692,1064
177,PARKSIDE AV,03/29/2021,2165,2023
178,PARKSIDE AV,03/30/2021,2325,2061
179,PARKSIDE AV,03/31/2021,2095,1869
180,PARKSIDE AV,04/01/2021,2052,1888
181,PARKSIDE AV,04/02/2021,2138,1872
182,CHURCH AV,03/27/2021,10592,7742
183,CHURCH AV,03/28/2021,6909,5121
184,CHURCH AV,03/29/2021,13002,10133
185,CHURCH AV,03/30/2021,14114,10840
186,CHURCH AV,03/31/2021,13383,10366
187,CHURCH AV,04/01/2021,13630,10424
188,CHURCH AV,04/02/2021,12698,9679
189,BEVERLEY ROAD,03/27/2021,564,826
190,BEVERLEY ROAD,03/28/2021,405,610
191,BEVERLEY ROAD,03/29/2021,1110,1117
192,BEVERLEY ROAD,03/30/2021,1156,1142
193,BEVERLEY ROAD,03/31/2021,1111,1053
194,BEVERLEY ROAD,04/01/2021,1082,1051
195,BEVERLEY ROAD,04/02/2021,1072,1041
196,CORTELYOU RD,03/27/2021,1309,471
197,CORTELYOU RD,03/28/2021,861,525
