DATE,index,CORRECT TOTAL,DBSCAN ENTRY,DBSCAN EXITS,ENTRY ERROR,EXIT ERROR
01/09/2021,87,991218,871930.0,975618.0,-12.034486863636456,-1.5738212986446978
01/10/2021,86,763690,671268.0,764583.0,-12.102030928780003,0.1169322630910448
01/11/2021,85,1571330,1447224.0,1447544.0,-7.89814997486206,-7.877785061062921
01/12/2021,84,1643725,1503573.0,1502899.0,-8.526487094860759,-8.567491520783586
01/13/2021,83,1644812,1503914.0,1498428.0,-8.56620695860682,-8.899740517457316
01/14/2021,82,1650630,1509003.0,1505370.0,-8.580178477308664,-8.800276258155977
01/15/2021,81,1630098,1474445.0,1490819.0,-9.548689710679971,-8.544210225397492
01/16/2021,80,992599,868102.0,967138.0,-12.542527244133833,-2.56508418807595
01/17/2021,79,798564,696184.0,793150.0,-12.82051282051282,-0.6779669506764643
01/18/2021,78,1279119,1152943.0,1221131.0,-9.864289405442339,-4.533432776778392
01/19/2021,77,1639243,1500383.0,1512492.0,-8.470983252635515,-7.732288623468271
01/20/2021,76,1578038,1432278.0,1453731.0,-9.236786439870269,-7.877313474073501
01/21/2021,75,1656100,1506141.0,1509781.0,-9.054948372682809,-8.835154881951574
01/22/2021,74,1675175,1506861.0,1527631.0,-10.047547271180623,-8.807676809885534
01/23/2021,73,998665,866766.0,976397.0,-13.207532055293816,-2.229776751963872
01/24/2021,72,741960,644736.0,743304.0,-13.103671356946467,0.18114184053048682
01/25/2021,71,1595694,1456759.0,1455603.0,-8.706869863520199,-8.779314831039034
01/26/2021,70,1553918,1421580.0,1431082.0,-8.51640820171978,-7.904921623920953
01/27/2021,69,1663376,1512336.0,1523717.0,-9.080328199998076,-8.396117293985245
01/28/2021,68,1650014,1500352.0,1512187.0,-9.07034728190185,-8.3530806405279
01/29/2021,67,1514326,1364007.0,1401013.0,-9.926462333737913,-7.482734893279254
01/30/2021,66,943426,814381.0,925251.0,-13.678338311642884,-1.9264892000008478
01/31/2021,65,723473,630417.0,723549.0,-12.86240122298966,0.010504884079986399
02/01/2021,64,584184,552888.0,614705.0,-5.357216219547266,5.224552538241376
02/02/2021,63,1007502,895417.0,956656.0,-11.125039950292903,-5.046739361311441
02/03/2021,62,1705655,1525092.0,1552131.0,-10.586138462936526,-9.000882358976463
02/04/2021,61,1789214,1598374.0,1615953.0,-10.666136079865236,-9.68363761964751
02/05/2021,60,1744130,1548746.0,1593158.0,-11.20237596968116,-8.656006146330835
02/06/2021,59,1149757,980956.0,1101205.0,-14.681450080321321,-4.2228053406067545
02/07/2021,58,653257,557399.0,650818.0,-14.67385730271547,-0.3733599486878824
02/08/2021,57,1642828,1477197.0,1503695.0,-10.082065803602083,-8.469115452134977
02/09/2021,56,1669590,1507678.0,1528150.0,-9.697710216280644,-8.471540917231177
