,EPS,MAE ENTRIES,MAE EXITS,MIN_SAMPLES,MSE ENTRIES,MSE EXITS,R2 ENTRIES,R2 EXITS
0,700.0,251813.4,216075.42857142858,1.0,70699110264.08571,55295671545.25714,0.46997359404895556,0.5854521231695009
1,700.0,251813.4,216075.42857142858,2.0,70699110264.08571,55295671545.25714,0.46997359404895556,0.5854521231695009
2,700.0,255311.2857142857,223272.4,3.0,72564490977.28572,58996588780.57143,0.4559889621143435,0.5577065991646201
3,700.0,317228.4,293438.0857142857,4.0,110601266206.68571,102152811202.2,0.17082985341410462,0.23416734415677665
4,700.0,393777.3714285714,394062.4,5.0,171402326313.25714,186105018799.14285,-0.284991545835809,-0.39521662825889137
5,800.0,242454.77142857143,200220.85714285713,1.0,65932151599.57143,47677106121.542854,0.5057111579140723,0.6425679883473043
6,800.0,242454.77142857143,200220.85714285713,2.0,65932151599.57143,47677106121.542854,0.5057111579140723,0.6425679883473043
7,800.0,243885.05714285714,204639.34285714285,3.0,66632057036.6,49692358736.71429,0.5004640146062125,0.6274597769891572
8,800.0,283998.65714285715,254243.0285714286,4.0,88983223027.4,76406895849.48572,0.3328988481611558,0.4271827149492289
9,800.0,335184.1142857143,327607.8857142857,5.0,123663581229.2,127392060335.25714,0.07290256891331826,0.04495041544398515
10,900.0,236379.45714285714,188169.6,1.0,63004152486.77143,42415177218.57143,0.5276621674895576,0.6820163103190255
11,900.0,236379.45714285714,188169.6,2.0,63004152486.77143,42415177218.57143,0.5276621674895576,0.6820163103190255
12,900.0,236989.17142857143,190790.88571428572,3.0,63296491988.25714,43510665762.14286,0.5254705181928236,0.6738035074514812
13,900.0,262486.34285714285,224719.94285714286,4.0,76699199709.54286,59915792955.71429,0.42499133285385327,0.5508153881795554
14,900.0,297507.0857142857,279798.0857142857,5.0,97947241382.34285,92834530223.28572,0.2656962141562538,0.30402586088276207
15,1000.0,233954.74285714285,181518.74285714285,1.0,61910078485.2,39647938304.457146,0.5358643656322399,0.7027621116534015
16,1000.0,233954.74285714285,181518.74285714285,2.0,61910078485.2,39647938304.457146,0.5358643656322399,0.7027621116534015
17,1000.0,234268.22857142857,183019.37142857144,3.0,62055947938.171425,40252919951.2,0.5347707922957765,0.6982266055247996
18,1000.0,250230.8,205508.45714285714,4.0,70161226765.02856,50256811414.11429,0.47400606994236794,0.6232281137784854
19,1000.0,274393.17142857146,245924.05714285714,5.0,83621281033.0,71641694863.2,0.37309696145556726,0.4629071016205899
20,1100.0,231249.7142857143,178431.6,1.0,60517671510.91428,38424914194.62857,0.5463031457165308,0.7119310399596069
21,1100.0,231249.7142857143,178431.6,2.0,60517671510.91428,38424914194.62857,0.5463031457165308,0.7119310399596069
22,1100.0,231424.62857142856,179446.6857142857,3.0,60603145045.77143,38822783667.6,0.5456623564574434,0.7089482396668031
