,DATE,STATION,ENTRIES,EXITS
0,03/13/2021,NEWARK HW BMEBE,423,800
1,03/13/2021,HARRISON,1326,1010
2,03/13/2021,JOURNAL SQUARE,6392,5041
3,03/13/2021,GROVE STREET,3935,4543
4,03/13/2021,EXCHANGE PLACE,2189,2489
5,03/13/2021,PAVONIA/NEWPORT,2732,2875
6,03/13/2021,CITY / BUS,3009,3347
7,03/13/2021,CHRISTOPHER ST,1020,1419
8,03/13/2021,9TH STREET,1237,1831
9,03/13/2021,14TH STREET,1910,2480
10,03/13/2021,TWENTY THIRD ST,1216,1673
11,03/13/2021,THIRTY ST,1376,475
12,03/13/2021,LACKAWANNA,770,954
13,03/13/2021,THIRTY THIRD ST,3962,4279
14,03/13/2021,NEWARK BM BW,3492,429
15,03/13/2021,NEWARK C,436,327
16,03/13/2021,NEWARK HM HE,0,3821
17,03/13/2021,PATH WTC 2,802,1940
18,03/13/2021,PATH NEW WTC,7312,8446
19,03/14/2021,NEWARK HW BMEBE,271,585
20,03/14/2021,HARRISON,894,783
21,03/14/2021,JOURNAL SQUARE,4446,4350
22,03/14/2021,GROVE STREET,2478,3149
23,03/14/2021,EXCHANGE PLACE,1369,1751
24,03/14/2021,PAVONIA/NEWPORT,1750,2122
25,03/14/2021,CITY / BUS,1889,2226
26,03/14/2021,CHRISTOPHER ST,811,896
27,03/14/2021,9TH STREET,853,1124
28,03/14/2021,14TH STREET,1159,1571
29,03/14/2021,TWENTY THIRD ST,678,961
30,03/14/2021,THIRTY ST,962,298
31,03/14/2021,LACKAWANNA,507,630
32,03/14/2021,THIRTY THIRD ST,2739,2930
33,03/14/2021,NEWARK BM BW,2589,300
34,03/14/2021,NEWARK C,349,169
35,03/14/2021,NEWARK HM HE,0,2933
36,03/14/2021,PATH WTC 2,593,1187
37,03/14/2021,PATH NEW WTC,4786,5757
38,03/15/2021,NEWARK HW BMEBE,874,1487
39,03/15/2021,HARRISON,2173,2497
40,03/15/2021,JOURNAL SQUARE,8657,6584
41,03/15/2021,GROVE STREET,4050,4583
42,03/15/2021,EXCHANGE PLACE,2749,3356
43,03/15/2021,PAVONIA/NEWPORT,2456,2817
44,03/15/2021,CITY / BUS,3022,3169
45,03/15/2021,CHRISTOPHER ST,947,964
46,03/15/2021,9TH STREET,893,1212
47,03/15/2021,14TH STREET,1943,2472
48,03/15/2021,TWENTY THIRD ST,1652,2190
49,03/15/2021,THIRTY ST,2688,2934
50,03/15/2021,LACKAWANNA,1334,1565
51,03/15/2021,THIRTY THIRD ST,4456,3541
52,03/15/2021,NEWARK BM BW,5233,294
53,03/15/2021,NEWARK C,1253,314
54,03/15/2021,NEWARK HM HE,0,5740
55,03/15/2021,PATH WTC 2,1098,3247
56,03/15/2021,PATH NEW WTC,11893,11743
57,03/16/2021,NEWARK HW BMEBE,1004,1695
58,03/16/2021,HARRISON,2212,2448
59,03/16/2021,JOURNAL SQUARE,8861,6727
60,03/16/2021,GROVE STREET,4261,4756
61,03/16/2021,EXCHANGE PLACE,2894,3418
62,03/16/2021,PAVONIA/NEWPORT,2574,3001
63,03/16/2021,CITY / BUS,3226,3515
64,03/16/2021,CHRISTOPHER ST,909,1009
65,03/16/2021,9TH STREET,907,1258
