STATION,C/A,UNIT,SCP,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
SUTTER AV,1,1,2,1,1,7,6,1,84,82
75 AV,1,1,10,1,1,7,6,1,302,365
67 AV,2,1,10,1,1,7,7,1,330,333
OZONE PK LEFFRT,1,1,10,1,1,7,6,1,329,338
COURT SQ-23 ST,1,1,10,1,1,7,6,1,287,296
JFK JAMAICA CT1,1,1,10,1,1,7,7,2,133,295
81 ST-MUSEUM,2,1,10,1,1,7,6,1,376,385
HUNTS POINT AV,1,1,10,1,1,7,6,1,330,337
33 ST-RAWSON ST,2,1,10,1,1,7,12,2,336,335
5 AVE,1,1,10,1,1,7,6,1,388,379
82 ST-JACKSON H,1,1,10,1,1,7,6,1,386,416
GUN HILL RD,2,2,10,2,1,7,12,2,416,423
NEVINS ST,2,1,10,1,1,7,6,1,397,419
AVENUE M,1,1,10,1,1,7,6,1,313,309
231 ST,1,1,10,1,1,7,6,1,184,178
137 ST CITY COL,2,1,10,1,1,7,17,1,446,459
SIMPSON ST,2,1,10,1,1,7,6,1,256,246
PRINCE ST,2,1,10,1,1,7,6,1,394,412
174-175 STS,2,1,9,1,1,7,16,2,351,381
SUTPHIN BLVD,2,1,10,1,1,7,6,1,331,337
LAFAYETTE AV,1,1,10,1,1,7,6,1,370,381
15 ST-PROSPECT,2,1,12,1,1,7,6,1,371,375
BROAD ST,3,1,12,1,1,7,6,1,395,425
GRAND-NEWTOWN,1,1,12,1,1,7,6,1,453,504
ELMHURST AV,1,1,12,1,1,7,6,1,442,483
JUNCTION BLVD,1,1,12,1,1,7,6,1,411,415
46 ST BLISS ST,2,1,12,1,1,7,6,1,414,419
ASTOR PL,2,1,12,1,1,7,6,1,467,482
HUNTERS PT AV,1,1,10,1,1,7,7,1,396,398
PARKCHESTER,1,1,12,1,1,7,6,2,411,420
PARSONS BLVD,2,1,11,1,1,7,6,1,370,374
4AV-9 ST,1,1,11,1,1,7,6,1,441,454
EAST BROADWAY,2,1,11,1,1,7,6,1,254,295
14TH STREET,1,1,11,1,1,7,440,1,368,431
CARROLL ST,2,1,11,1,1,7,6,1,419,394
INWOOD-207 ST,2,1,11,1,1,7,11,1,320,320
2 AV,2,1,10,1,1,7,6,1,371,385
LORIMER ST,2,2,12,2,1,7,6,1,457,465
NORTHERN BLVD,2,1,9,1,1,7,7,1,268,302
STEINWAY ST,2,1,9,1,1,7,10,1,366,377
TWENTY THIRD ST,1,1,9,1,1,7,360,1,281,327
FRESH POND RD,1,1,8,1,1,7,6,1,319,330
NORWOOD 205 ST,2,1,8,1,1,7,6,1,334,336
BAY RIDGE AV,1,1,8,1,1,7,6,1,311,336
EUCLID AV,1,1,8,1,1,7,6,1,256,254
53 ST,1,1,8,1,1,7,6,1,317,336
BRIARWOOD,1,1,8,1,1,7,6,1,303,319
HALSEY ST,3,2,8,2,1,7,12,1,419,458
DITMAS AV,2,1,8,1,1,7,6,1,176,177
FRANKLIN ST,2,1,8,1,1,7,6,1,247,306
157 ST,2,1,8,1,1,7,6,2,230,225
BROADWAY JCT,1,1,7,1,1,7,6,1,291,294
80 ST,2,1,7,1,1,7,6,1,212,202
TOMPKINSVILLE,1,1,7,1,1,7,6,1,140,7
149/GRAND CONC,2,1,7,1,1,7,6,2,212,199
30 AV,1,1,7,1,1,7,6,1,289,294
9 AV,1,1,7,1,1,7,6,1,207,208
PAVONIA/NEWPORT,1,1,8,1,1,7,320,1,287,295
163 ST-AMSTERDM,1,1,8,1,1,7,6,1,328,334
W 8 ST-AQUARIUM,2,1,8,1,1,7,6,1,221,226
