,Top 10 Change in Entries (%),Top 10 Change in Exits (%),Top 10 Change in Entries (Magnitude),Top 10 Change in Exits (Magnitude)
0,191 ST,ST. GEORGE,34 ST-PENN STA,34 ST-PENN STA
1,NEWARK HM HE,191 ST,23 ST,23 ST
2,PRINCE ST,8 ST-NYU,FULTON ST,FULTON ST
3,LACKAWANNA,PRINCE ST,TIMES SQ-42 ST,TIMES SQ-42 ST
4,AQUEDUCT RACETR,LACKAWANNA,86 ST,34 ST-HERALD SQ
5,8 ST-NYU,57 ST,42 ST-PORT AUTH,14 ST
6,18 ST,CHRISTOPHER ST,34 ST-HERALD SQ,GRD CNTRL-42 ST
7,WTC-CORTLANDT,PAVONIA/NEWPORT,14 ST,CANAL ST
8,WORLD TRADE CTR,FRANKLIN ST,CANAL ST,86 ST
9,CHRISTOPHER ST,5 AV/53 ST,125 ST,14 ST-UNION SQ
